ID,Word_Count,Number_of_Sentence,Unique_Words,Average_Word_Length,Label
1606,10,4,24,6.176749717,1
3718,10,8,25,5.826769957,1
2634,10,7,18,4.619039519,1
5560,10,6,18,4.961423797,1
7494,10,4,21,4.114323585,1
3159,39,5,16,4.582873768,1
7232,11,4,21,5.756046145,1
7509,11,5,21,4.502689886,1
1509,11,6,24,3.943671991,1
1657,11,8,19,5.41906807,1
4128,11,7,18,5.354000533,1
5537,11,6,21,6.423073953,1
7550,11,4,18,4.092476922,1
7617,11,9,24,5.636306913,1
4515,69,7,15,5.701357872,1
7118,12,7,22,3.173264901,1
9528,12,8,19,3.797878122,1
9569,12,7,21,6.903405999,1
3479,12,7,24,4.786232788,1
8743,12,6,17,3.349797408,1
6629,12,5,15,6.776365662,1
5818,12,5,16,6.576531113,1
4900,12,4,16,5.348672436,1
4182,12,4,21,6.692088895,1
5447,12,4,22,6.308684573,1
6937,85,5,25,4.170042259,1
2213,13,7,19,5.321045314,1
2287,13,9,16,5.083260305,1
6142,13,7,25,3.546896979,1
6553,13,7,19,3.626310986,1
9496,13,4,15,4.666842717,1
6869,13,9,15,6.753959173,1
4078,13,8,17,4.099134496,1
6927,13,4,22,4.464200555,1
2192,14,7,22,6.996748667,1
7726,94,5,25,6.956861797,1
4091,14,6,16,4.585493806,1
6442,14,8,17,3.32457185,1
4176,14,8,18,6.549348816,1
4141,14,4,22,4.693376519,1
9491,14,5,19,4.390857772,1
5221,27,5,23,4.194186258,1
7705,14,5,24,4.101495298,1
1675,14,6,25,6.963918772,1
1650,14,6,22,6.678238842,1
1576,14,4,25,4.623958315,1
1658,14,4,15,4.665281534,1
8510,28,5,22,6.647107331,1
1581,15,8,15,4.674833191,1
3581,15,6,17,3.0167708,1
2902,15,8,20,4.214488325,1
9560,15,8,18,5.728688264,1
2009,15,5,19,6.39075132,1
3019,15,7,16,4.783588039,1
6974,42,4,19,6.223445894,1
1665,15,7,24,3.939250823,1
7718,15,5,23,6.545004621,1
5154,15,6,20,5.367199633,1
2481,15,8,15,5.491922321,1
5704,15,9,18,3.514682488,1
8128,15,5,22,6.195448375,1
1289,15,8,21,5.128071477,1
3433,15,9,23,4.307888683,1
9659,38,7,20,4.856272067,1
8730,20,5,24,6.484390141,1
5549,32,8,25,5.660075699,1
5804,36,9,16,4.314407419,1
6749,62,7,18,3.951185584,1
7631,24,6,20,5.089488698,1
9328,36,9,17,5.159520423,1
4431,24,6,16,3.941799914,1
6092,36,9,25,4.119540872,1
7090,16,6,18,4.826199911,1
1797,39,7,18,6.092643063,1
4104,16,9,23,4.760613277,1
8080,16,8,15,3.52340583,1
8382,55,7,20,5.284813457,1
9936,89,9,17,6.616940395,1
8558,16,7,24,4.412414354,1
7286,36,9,22,3.096428819,1
6008,16,8,16,5.936205915,1
1193,16,6,25,3.354380771,1
6881,60,8,18,3.863967463,1
7086,16,7,19,6.123158206,1
9064,16,8,18,3.191831736,1
8306,16,4,24,3.499504377,1
2455,16,4,19,4.66647932,1
5477,66,5,24,6.860178652,1
5095,55,9,24,6.319647407,1
2329,17,6,24,5.896715997,1
4760,17,8,18,3.475124108,1
6168,17,8,23,4.879987841,1
4175,17,6,22,5.283010047,1
6981,17,7,18,4.828332254,1
5022,17,8,17,6.064956873,1
4294,17,6,25,6.162778526,1
5526,17,4,25,5.611433522,1
6403,17,5,20,5.675734165,1
2181,57,9,23,5.460484991,1
9403,18,6,19,6.488602152,1
9456,18,4,24,6.444813409,1
4878,18,8,20,3.836483907,1
3182,18,8,18,5.554324418,1
7013,58,9,22,6.148520646,1
7693,18,8,25,6.9590683,1
3072,18,8,25,4.314794578,1
1868,19,4,17,6.969948979,1
4647,19,8,17,3.382293243,1
9177,19,6,24,6.771427996,1
7554,19,6,21,4.29981469,1
2067,19,7,17,5.143286588,1
5521,19,5,18,3.470494907,1
7149,59,9,17,6.587786756,1
2294,19,5,23,5.678404444,1
8005,19,8,23,4.122307246,1
8031,19,5,15,6.447589478,1
1570,48,9,24,6.41485482,1
3623,24,6,18,5.16758171,1
9213,36,9,23,4.370442164,1
2845,16,4,21,3.553904483,1
9551,36,9,25,6.935785698,1
2598,36,9,22,3.356391501,1
2615,16,4,15,6.823452754,1
5039,48,9,17,6.159741541,1
9835,28,7,17,5.354614053,1
8099,36,9,16,6.689390629,1
3617,51,9,16,4.98346854,1
7829,66,9,25,5.578598182,1
1320,44,9,25,5.895858525,1
7551,20,5,21,4.717620587,1
6358,16,4,16,4.949003045,1
3404,16,4,18,5.978105112,1
8417,24,6,17,4.236405433,1
4036,20,4,18,5.602270615,1
1847,20,7,20,3.179992389,1
4888,20,7,24,5.900039412,1
7293,20,9,21,3.049284674,1
5488,20,8,20,6.578762802,1
7655,44,9,24,5.071453404,1
2604,20,6,16,6.18326827,1
3390,20,6,24,4.819939372,1
5461,20,9,18,3.883099739,1
9026,20,5,21,6.476633352,1
2224,20,5,21,5.797077862,1
3908,21,8,17,5.340090715,1
1829,21,7,23,3.923785132,1
3851,21,4,20,3.182946726,1
3235,34,5,20,3.37217216,0
1679,56,11,50,4.830154056,0
7191,68,7,17,5.249576242,0
7173,45,14,42,3.73836479,0
3868,78,4,35,6.968151483,0
7253,72,14,21,5.44145789,0
2458,21,7,19,6.788788523,1
4705,13,4,5,6.781345444,0
3909,68,15,32,6.003377378,0
2345,52,8,16,4.794084423,0
3241,19,12,40,4.900169025,0
8333,53,10,41,4.427114834,0
9466,38,6,45,6.247981054,0
9177,16,12,13,3.423686787,0
6462,86,10,18,6.255257089,0
4189,21,7,18,3.213666383,1
4517,86,12,10,4.618956257,0
8703,59,4,14,6.011346536,0
3838,21,7,20,4.943745006,1
5645,21,7,17,5.299303725,1
5301,71,14,32,6.116328029,0
7412,43,10,37,4.567234636,0
1728,97,11,39,6.506125589,0
9584,72,12,26,5.252573979,0
7214,11,8,6,4.405847764,0
1130,21,7,16,3.027285234,1
7762,44,9,16,5.090230259,1
3619,21,6,25,3.644559705,1
2060,21,6,24,6.390055673,1
1556,21,6,22,6.471944359,1
2302,22,9,20,5.923281493,1
5435,22,6,18,4.360313552,1
2575,22,7,21,6.37118232,1
3238,22,8,20,5.66931295,1
1136,22,8,16,6.867037066,1
6042,22,8,22,4.718086591,1
1127,22,7,19,3.595402955,1
4089,22,7,19,6.041432176,1
6016,22,7,19,5.894898788,1
5373,22,7,21,3.510876317,1
8896,22,6,22,6.998589882,1
7940,22,7,21,3.033196019,1
4220,22,9,16,4.779929651,1
1674,22,5,17,5.214168587,1
9613,22,5,21,4.848214958,1
9806,22,4,20,4.050558252,1
7716,23,8,18,6.559658155,1
1632,23,5,16,4.091862979,1
5459,23,8,16,4.078534738,1
7470,23,7,23,4.930291763,1
7834,23,7,18,6.05645848,1
1186,23,8,23,6.347529113,1
7909,23,4,15,3.161031284,1
2730,16,4,25,3.249414651,1
8500,36,9,24,3.742886645,1
1330,32,8,23,6.207498526,1
4533,44,9,15,5.844321637,1
1047,32,8,18,3.117333257,1
1530,20,5,24,3.632504524,1
9146,32,8,20,3.067207143,1
7155,36,9,15,4.34499088,1
6344,28,7,15,5.147187335,1
2213,36,9,24,4.413465555,1
6830,32,8,21,3.67142629,1
3630,16,4,18,4.161683136,1
5886,44,9,25,5.127847748,1
8271,24,4,24,4.522015254,1
3917,24,4,19,5.751840406,1
1210,24,5,18,4.310802317,1
8308,24,9,17,4.049545313,1
9105,24,5,22,3.55697447,1
4667,24,8,17,4.911807016,1
5476,24,6,19,6.293981297,1
7179,25,4,16,4.682104698,1
1130,44,9,18,6.555941386,1
2786,25,7,18,5.828253138,1
9438,25,8,19,3.316126779,1
8655,25,8,15,6.948016964,1
6740,25,4,17,6.290270746,1
4528,25,9,16,3.38331288,1
7393,25,7,22,3.748578824,1
9636,25,6,22,5.330003728,1
6600,25,5,24,5.499903973,1
5777,26,5,18,4.529374324,1
9905,39,9,23,6.789782809,1
6704,26,8,21,6.350935852,1
1952,26,7,17,6.085442638,1
9037,40,9,17,5.644472065,1
9502,41,9,16,4.98437388,1
1446,26,6,17,3.956361881,1
2316,26,4,15,5.222642972,1
3897,41,9,19,3.479059591,1
6068,27,6,24,3.979906714,1
4364,27,4,22,4.011849059,1
4116,41,9,23,6.064879277,1
8673,27,8,19,4.757509107,1
4575,27,6,19,3.496683948,1
8143,16,4,17,3.289392662,1
2087,32,8,23,3.510268223,1
9954,41,9,19,5.508311344,1
3886,28,7,17,3.626720475,1
1131,36,9,22,4.353003524,1
7335,42,9,21,4.306934799,1
1667,20,5,19,4.606716837,1
2724,24,6,25,6.801852508,1
9355,36,9,23,5.388950156,1
1901,36,9,21,3.242235876,1
9058,16,4,23,5.563386506,1
6164,24,6,15,5.953487399,1
5044,20,5,20,6.634109199,1
3476,36,9,15,3.294835707,1
5060,32,8,16,3.696877913,1
5730,32,8,20,6.298410409,1
5781,36,9,18,5.94428539,1
9155,42,9,22,3.484406314,1
8556,42,9,19,5.103587066,1
9471,36,9,16,4.204061932,1
8937,20,5,25,6.387320964,1
7926,44,9,19,6.161436102,1
8246,28,8,19,5.839620483,1
7104,28,8,25,4.026734572,1
4152,44,9,21,3.141928584,1
8817,28,8,21,4.360977913,1
1084,46,9,20,5.921718994,1
1654,28,9,23,6.149418696,1
1726,28,6,21,6.342193101,1
7300,28,6,17,6.640164304,1
9787,28,5,16,5.629154934,1
4606,28,5,17,6.354979644,1
6400,28,8,24,6.270151671,1
6353,29,9,23,3.075014755,1
7017,29,8,25,3.365941247,1
2859,29,8,23,5.799407801,1
9154,29,6,24,3.378120142,1
4662,47,9,21,6.206662377,1
3781,49,9,15,6.42216742,1
